sample,steps,parameters,fidelities,step_sizes
1,0,"[1.358797255730579, 1.394110409356792, 1.7615662202565472, 3.211477812784329, 0.2937984834168516, 2.263695675853055, 1.1090161202271058, 1.2869756661796399, -0.5410456308408327, 2.3406829773843434, 3.5036344003095587, 2.1853122023233795, 4.015938779784927, -0.9881263825090675, 0.950050106047876, -0.518450916872811, 1.4697264659502178, 1.2596311958180333, 0.44844655564069436, 1.0341968972145024, 3.716656892682418, 2.0169331103869674, 2.518462375476005, 0.8568808450176021]",0.3242015139349994,0.0
1,1,"[0.4535021705070773, 2.5223262912755344, 5.4835545249314075, 2.8090090831307375, -0.31832761708407603, 4.602574647723008, 1.4736667469256512, 0.3549422602647109, 3.7343949259238673, -0.18414594295448072, 2.731137996189373, -0.3944002876377187, 3.4288517140704537, 0.046478438626922164, 2.055355253934706, 0.844092897715789, 4.561488019930332, -1.9483513535077353, 0.816544299510177, 2.3602925321357073, 5.900699900123304, -0.31743108411146015, 0.8826408099056398, -0.0790361170888434]",0.5945614408548437,0.0
1,2,"[-0.6621911785076581, -0.34022673859680463, 3.056811108167482, 2.39935245838862, -0.41443422082683345, 2.292928331467885, 1.008825084857183, -1.4403345894156838, -0.48264969854502904, -0.38784450985322333, 1.1360515766443957, -0.2978748944742562, 0.4078101582640854, 0.10827916612931332, 0.11405613695917688, 0.5351091805298266, 2.391869301212363, -0.4880604799485454, -0.7865164525511954, 1.6054783072980174, 1.6363938084133003, 0.31469467631646797, 2.943142831404333, -0.046972782883588554]",0.34668317199254417,0.0
1,3,"[0.7679277513152427, -0.8409052390300514, 1.5338806528864917, 0.373422915093975, 0.5075970593237118, 2.957360394443671, -0.5033058131175538, 0.03537176131271409, -0.6246576487858115, 1.604229329321733, -0.00964258177093305, -0.7887607471043011, 0.789389115419959, 0.3596821322704198, -1.0244319669984772, 0.6476477771402676, 1.1574346671823192, -0.4521097747630444, -1.4045196139617242, 1.067052150032338, 0.3004538954971591, -1.2698229813040653, 3.17204207170945, 0.2938403205829253]",0.39976695813639623,0.0
1,4,"[0.18257594182604356, -0.5059080064823931, 0.3399244195388291, 1.1386991031944496, 0.9170000115477828, 2.1457627454033563, -0.36903131955082635, 0.1639864449499302, -1.2337648103231125, 1.6461748945397399, 0.5578973855823873, 1.1015137252623648, 1.0883442902353977, -0.03146875669610005, -1.5913684112811333, 1.8058546541035347, 0.8310550218357358, -0.4144968490523865, -1.6086913050846194, 1.4281086642542864, 0.9144439316989823, -1.4930513790486821, 1.824687829463437, 0.7981680962063684]",0.7982863713454894,0.0
1,5,"[0.2345635096892092, 0.18042060637163893, -0.20368285763925684, 2.35747037435075, 0.7665772671799387, 1.78594121902945, -0.41509265722156896, -0.026958186940613974, -1.3695749976282108, 1.6489493190462468, -0.1537682166997566, 0.9000647292886854, 0.6432366146496374, 0.2317101285091, -0.9772900462844261, 1.3838973826768668, 1.116530582106642, -1.0215647092751317, -1.631232801633368, 1.2226043135085547, 0.8115128316821387, -0.7960766289920564, 1.598125013486984, -0.02022950582863886]",0.6995912938958644,0.0
1,6,"[0.1515683237318712, 0.6406301932723434, -0.5702704465970918, 2.7786808675473544, 0.2701162195498416, 1.3752377484106293, -1.2598035628821673, 0.16321776134066354, -0.3810756830351262, 1.5402647605004385, 0.25812798601495557, 0.7451305928306425, 0.8047838965294662, 0.45023415707921716, -1.8282228206180031, 0.6092245879634954, 0.7589276894021504, -2.263599963644696, -1.2338425958785795, 0.7266287396794837, 0.606666959270613, -0.7927652253184826, 1.8755203718769504, -0.5587732085081577]",0.6056823409811918,0.0
1,7,"[-0.12421518340730238, 0.731525762731179, -0.19524555807478863, 3.516102445011423, 0.6905205900649317, 1.1075796456117635, -0.3662514589905071, -0.025990060321646823, -0.28142001628452123, 2.2182613632216857, -0.6173948763645442, 0.9172057602716267, 0.11908997136383553, -0.2695882151483007, -0.9082112145397452, 0.19693463709147144, 0.1925313962544071, -2.2882811681404895, -0.07851558044466825, 0.8571756800256373, -0.20316001327790484, -0.9889992535752051, 1.4459242682164373, -0.770539723490363]",0.9505770838246498,0.0
1,8,"[-0.11570194284679225, 0.6549491610862487, -0.0572126761394718, 3.6714167343821122, 0.69196126256325, 1.164352253619545, -0.44307213357362246, 0.03359779070273166, -0.3214384677674859, 2.206437385264023, -0.6691331302413404, 1.1292800276901382, 0.1737787700163646, -0.6619232636599992, -0.7125897262635918, 0.03712233675241473, 0.4440659237957959, -2.4746109267203313, 0.10828698087118105, 0.5758536695592259, -0.022675815656150736, -1.0366649868754838, 1.319132413204907, -0.580991951771385]",0.9959179756754586,0.0
1,9,"[-0.05684075449030916, 0.6698457616859278, -0.14432213806831626, 3.9195735279635446, 0.6975004208414237, 1.3164487372492546, -0.36193424293877546, -0.014497759489278408, -0.19758818250737312, 1.8437892063023789, -0.6762019981645064, 0.9990182895215962, 0.22681471726072472, -0.7170981606130306, -0.5053749924543952, 0.06523584715673106, 0.2946780754589162, -2.14026429294538, -0.005969314102208325, 0.5000713558055327, -0.25396068182960957, -1.1568746833406374, 1.1735040287414278, -0.5702756073606723]",0.8778370496023014,0.0
1,10,"[-0.06435711625887085, 0.8489237547927205, -0.098737250614304, 4.029992903381514, 0.6289329339879133, 1.1816844524027355, -0.40852462144324553, 0.08852418452307848, -0.24610291859282932, 2.03211177722605, -0.7276879788753529, 0.89091571679473, 0.09516336414159808, -0.8122513527384878, -0.4160714188572821, 0.06351504405032304, 0.11402981786111936, -2.35919594358467, -0.01599242777494946, 0.4404267615838173, -0.1122311326678132, -0.9424527638850609, 1.1689481144122547, -0.6597545563399985]",0.996477327458915,0.0
1,11,"[-0.06725042610686728, 0.8005078490841878, -0.10030650583085743, 3.9867107365841195, 0.6419541579707668, 1.1038460048888998, -0.4731540359988096, 0.06358745840393859, -0.11377340658613738, 2.057452203153184, -0.6048330835720954, 0.9650233997339004, 0.03736255127825022, -0.7902894457374422, -0.4581040179465701, -0.010684705725471318, 0.11279563302344908, -2.3936682229675035, 0.011026208869401992, 0.4044239930048116, 0.009762011228717268, -0.9948663209336155, 0.8630062432900731, -0.6354163302434147]",0.9524132744688234,0.0
